,T2M,PRECTOTCORR,HR,DY,MO,YEAR,RH2M,WS50M,WS50M
63,27.08,1.0,20,3,4,2011,18.19,7.88,7.88
64,26.29,1.0,21,3,4,2011,17.0,8.48,8.48
65,25.44,1.0,22,3,4,2011,16.12,8.72,8.72
66,24.58,1.0,23,3,4,2011,16.38,8.73,8.73
67,23.71,1.0,0,4,4,2011,17.81,8.7,8.7
68,22.94,1.0,1,4,4,2011,19.88,8.68,8.68
69,22.11,1.0,2,4,4,2011,22.56,8.37,8.37
70,21.27,1.0,3,4,4,2011,25.38,8.11,8.11
71,20.63,1.0,4,4,4,2011,27.69,8.05,8.05
72,20.08,1.0,5,4,4,2011,29.75,8.12,8.12
73,20.98,1.0,6,4,4,2011,29.06,7.67,7.67
74,24.25,1.0,7,4,4,2011,24.56,6.92,6.92
75,29.68,1.0,8,4,4,2011,17.88,7.63,7.63
76,32.81,1.0,9,4,4,2011,14.69,7.05,7.05
77,34.66,1.0,10,4,4,2011,13.31,6.16,6.16
78,35.79,1.0,11,4,4,2011,12.75,5.27,5.27
79,36.53,1.0,12,4,4,2011,12.5,4.48,4.48
80,36.8,1.0,13,4,4,2011,12.44,3.73,3.73
81,36.8,1.0,14,4,4,2011,12.44,3.2,3.2
82,36.18,1.0,15,4,4,2011,12.75,2.88,2.88
83,35.05,1.0,16,4,4,2011,13.38,2.83,2.83
84,32.8,1.0,17,4,4,2011,15.25,3.37,3.37
85,29.43,1.0,18,4,4,2011,18.38,4.93,4.93
86,28.38,1.0,19,4,4,2011,19.06,6.57,6.57
87,27.68,1.0,20,4,4,2011,19.0,7.71,7.71
88,26.98,1.0,21,4,4,2011,18.5,8.28,8.28
89,26.14,1.0,22,4,4,2011,17.81,8.43,8.43
90,25.36,1.0,23,4,4,2011,17.0,8.34,8.34
91,24.49,1.0,0,5,4,2011,16.44,8.17,8.17
92,23.58,1.0,1,5,4,2011,16.31,8.03,8.03
93,22.75,1.0,2,5,4,2011,16.5,7.86,7.86
94,22.18,1.0,3,5,4,2011,16.81,7.74,7.74
95,21.8,1.0,4,5,4,2011,17.12,7.65,7.65
96,21.45,1.0,5,5,4,2011,17.62,7.62,7.62
97,22.52,1.0,6,5,4,2011,16.69,7.15,7.15
98,25.44,1.0,7,5,4,2011,14.12,6.59,6.59
99,30.46,1.0,8,5,4,2011,12.81,7.45,7.45
100,33.9,1.0,9,5,4,2011,13.56,7.74,7.74
101,35.64,1.0,10,5,4,2011,12.94,7.36,7.36
102,36.88,1.0,11,5,4,2011,12.19,6.72,6.72
103,37.55,1.0,12,5,4,2011,11.69,5.96,5.96
104,37.76,1.0,13,5,4,2011,11.44,5.24,5.24
105,37.45,1.0,14,5,4,2011,11.44,4.48,4.48
106,36.73,1.0,15,5,4,2011,11.75,3.95,3.95
107,35.52,1.0,16,5,4,2011,12.5,3.81,3.81
108,33.17,1.0,17,5,4,2011,14.19,4.15,4.15
109,29.32,1.0,18,5,4,2011,17.56,5.33,5.33
110,28.29,1.0,19,5,4,2011,18.12,6.36,6.36
111,27.55,1.0,20,5,4,2011,18.19,6.94,6.94
112,26.68,1.0,21,5,4,2011,18.31,7.35,7.35
113,25.96,1.0,22,5,4,2011,18.12,7.95,7.95
114,25.27,1.0,23,5,4,2011,17.69,8.37,8.37
115,24.53,1.0,0,6,4,2011,17.06,8.47,8.47
116,23.86,1.0,1,6,4,2011,16.12,8.57,8.57
117,23.15,1.0,2,6,4,2011,15.19,8.48,8.48
118,22.48,1.0,3,6,4,2011,14.19,8.48,8.48
119,21.97,1.0,4,6,4,2011,13.19,8.58,8.58
120,21.57,1.0,5,6,4,2011,12.38,8.79,8.79
121,23.01,1.0,6,6,4,2011,10.5,8.45,8.45
122,26.44,1.0,7,6,4,2011,8.19,7.4,7.4
123,31.73,1.0,8,6,4,2011,8.19,8.65,8.65
124,34.73,1.0,9,6,4,2011,9.56,6.82,6.82
125,36.41,0.0,10,6,4,2011,9.88,5.62,5.62
126,37.35,1.0,11,6,4,2011,10.0,4.98,4.98
127,37.77,1.0,12,6,4,2011,10.12,4.29,4.29
128,38.12,1.0,13,6,4,2011,10.19,3.62,3.62
129,38.25,1.0,14,6,4,2011,10.31,2.95,2.95
130,37.63,0.0,15,6,4,2011,10.81,2.54,2.54
131,36.54,0.0,16,6,4,2011,11.69,2.13,2.13
132,34.44,0.0,17,6,4,2011,14.25,1.9,1.9
133,32.41,0.0,18,6,4,2011,16.5,1.84,1.84
134,31.34,1.0,19,6,4,2011,18.12,2.27,2.27
135,29.94,1.0,20,6,4,2011,20.56,3.12,3.12
136,28.62,1.0,21,6,4,2011,23.44,4.22,4.22
137,27.98,1.0,22,6,4,2011,25.81,4.58,4.58
138,27.73,1.0,23,6,4,2011,27.81,3.91,3.91
139,27.98,1.0,0,7,4,2011,28.5,2.32,2.32
140,28.18,1.0,1,7,4,2011,28.38,1.01,1.01
141,27.77,1.0,2,7,4,2011,28.69,1.05,1.05
142,27.3,1.0,3,7,4,2011,29.0,0.98,0.98
143,26.97,1.0,4,7,4,2011,29.25,0.84,0.84
144,26.51,1.0,5,7,4,2011,30.12,1.15,1.15
145,26.88,1.0,6,7,4,2011,30.44,2.01,2.01
146,29.05,1.0,7,7,4,2011,28.25,3.12,3.12
147,32.68,1.0,8,7,4,2011,26.19,5.05,5.05
148,34.87,0.0,9,7,4,2011,24.12,6.11,6.11
149,36.64,0.0,10,7,4,2011,22.06,6.4,6.4
150,37.9,0.0,11,7,4,2011,20.56,6.34,6.34
151,38.71,0.0,12,7,4,2011,19.38,5.8,5.8
152,38.96,1.0,13,7,4,2011,18.62,4.69,4.69
153,38.48,1.0,14,7,4,2011,18.5,3.47,3.47
154,37.69,1.0,15,7,4,2011,19.12,2.32,2.32
155,36.44,1.0,16,7,4,2011,20.56,1.22,1.22
156,34.76,0.0,17,7,4,2011,23.56,0.36,0.36
157,32.84,0.0,18,7,4,2011,27.62,2.09,2.09
158,31.71,0.0,19,7,4,2011,31.0,4.66,4.66
159,31.07,0.0,20,7,4,2011,33.0,6.06,6.06
160,30.02,0.0,21,7,4,2011,36.88,6.03,6.03
161,28.79,0.0,22,7,4,2011,41.75,4.9,4.9
162,27.89,0.0,23,7,4,2011,45.19,3.72,3.72
163,26.65,0.0,0,8,4,2011,49.31,2.62,2.62
164,25.21,0.0,1,8,4,2011,54.06,1.97,1.97
165,24.16,0.0,2,8,4,2011,56.88,1.74,1.74
166,23.38,1.0,3,8,4,2011,58.06,1.54,1.54
167,23.13,1.0,4,8,4,2011,56.88,1.41,1.41
168,22.93,1.0,5,8,4,2011,55.75,1.11,1.11
169,23.81,0.0,6,8,4,2011,52.0,0.7,0.7
170,26.58,0.0,7,8,4,2011,41.0,0.91,0.91
171,31.53,1.0,8,8,4,2011,21.69,0.31,0.31
172,34.82,1.0,9,8,4,2011,14.31,0.61,0.61
173,36.85,1.0,10,8,4,2011,12.19,1.75,1.75
174,38.23,1.0,11,8,4,2011,11.12,2.86,2.86
175,39.12,1.0,12,8,4,2011,10.44,3.76,3.76
176,39.48,1.0,13,8,4,2011,9.94,4.57,4.57
177,39.33,1.0,14,8,4,2011,9.81,5.36,5.36
178,38.67,1.0,15,8,4,2011,10.06,6.0,6.0
179,37.47,1.0,16,8,4,2011,10.94,6.26,6.26
180,35.24,1.0,17,8,4,2011,12.81,6.08,6.08
181,31.15,1.0,18,8,4,2011,16.69,6.33,6.33
182,30.04,1.0,19,8,4,2011,17.88,6.94,6.94
183,29.35,1.0,20,8,4,2011,18.31,7.51,7.51
184,28.52,1.0,21,8,4,2011,18.56,7.7,7.7
185,27.52,1.0,22,8,4,2011,19.19,7.69,7.69
186,26.44,1.0,23,8,4,2011,20.19,7.64,7.64
187,25.35,1.0,0,9,4,2011,21.69,7.37,7.37
188,24.33,1.0,1,9,4,2011,23.44,7.26,7.26
189,23.38,1.0,2,9,4,2011,25.94,7.17,7.17
190,22.48,1.0,3,9,4,2011,29.69,7.14,7.14
191,21.66,1.0,4,9,4,2011,35.0,7.05,7.05
192,20.86,1.0,5,9,4,2011,41.94,6.55,6.55
193,22.39,1.0,6,9,4,2011,43.31,5.36,5.36
194,25.52,1.0,7,9,4,2011,38.69,4.19,4.19
195,31.01,1.0,8,9,4,2011,23.88,4.67,4.67
196,35.05,1.0,9,9,4,2011,15.12,4.08,4.08
197,37.23,1.0,10,9,4,2011,12.44,3.57,3.57
198,38.58,1.0,11,9,4,2011,11.12,3.47,3.47
199,39.36,1.0,12,9,4,2011,10.44,3.68,3.68
200,39.65,1.0,13,9,4,2011,10.12,3.87,3.87
201,39.48,1.0,14,9,4,2011,10.06,4.23,4.23
202,38.8,1.0,15,9,4,2011,10.25,4.78,4.78
203,37.59,1.0,16,9,4,2011,10.94,5.24,5.24
204,35.44,1.0,17,9,4,2011,12.38,5.71,5.71
205,31.36,1.0,18,9,4,2011,16.0,6.69,6.69
206,30.12,1.0,19,9,4,2011,17.38,7.32,7.32
207,29.08,1.0,20,9,4,2011,18.56,7.39,7.39
208,28.16,1.0,21,9,4,2011,19.5,7.28,7.28
209,27.36,1.0,22,9,4,2011,20.25,7.15,7.15
210,26.6,1.0,23,9,4,2011,20.94,7.06,7.06
211,25.91,1.0,0,10,4,2011,21.62,6.98,6.98
212,25.23,1.0,1,10,4,2011,22.5,6.84,6.84
213,24.57,1.0,2,10,4,2011,23.44,6.75,6.75
214,23.95,1.0,3,10,4,2011,24.38,6.64,6.64
215,23.3,1.0,4,10,4,2011,25.5,6.06,6.06
216,22.73,1.0,5,10,4,2011,26.69,5.21,5.21
217,24.94,1.0,6,10,4,2011,23.81,4.24,4.24
218,27.95,1.0,7,10,4,2011,20.25,2.57,2.57
219,33.14,1.0,8,10,4,2011,15.0,1.98,1.98
220,36.15,1.0,9,10,4,2011,12.62,1.1,1.1
221,37.73,1.0,10,10,4,2011,11.62,1.03,1.03
222,38.93,1.0,11,10,4,2011,10.81,1.55,1.55
223,39.76,1.0,12,10,4,2011,10.25,2.24,2.24
224,40.15,1.0,13,10,4,2011,9.88,2.87,2.87
225,40.0,1.0,14,10,4,2011,9.81,3.26,3.26
226,39.39,1.0,15,10,4,2011,10.06,3.46,3.46
227,38.25,1.0,16,10,4,2011,10.69,3.62,3.62
228,36.12,1.0,17,10,4,2011,12.19,3.84,3.84
229,32.4,1.0,18,10,4,2011,15.5,4.12,4.12
230,31.44,1.0,19,10,4,2011,16.62,4.03,4.03
231,30.83,1.0,20,10,4,2011,17.56,3.69,3.69
232,30.1,1.0,21,10,4,2011,18.62,3.52,3.52
233,29.19,1.0,22,10,4,2011,19.94,3.6,3.6
234,28.17,1.0,23,10,4,2011,21.62,3.82,3.82
235,27.23,1.0,0,11,4,2011,23.38,3.93,3.93
236,26.34,1.0,1,11,4,2011,25.19,3.94,3.94
237,25.42,1.0,2,11,4,2011,27.25,3.98,3.98
238,24.48,1.0,3,11,4,2011,29.56,4.12,4.12
239,23.65,1.0,4,11,4,2011,31.75,4.09,4.09
240,23.04,1.0,5,11,4,2011,33.56,3.94,3.94
241,24.82,1.0,6,11,4,2011,30.88,3.43,3.43
242,28.08,1.0,7,11,4,2011,26.06,2.2,2.2
243,33.07,1.0,8,11,4,2011,19.31,1.25,1.25
244,36.01,1.0,9,11,4,2011,16.19,1.26,1.26
245,37.94,1.0,10,11,4,2011,14.44,1.77,1.77
246,39.23,1.0,11,11,4,2011,13.31,2.34,2.34
247,40.09,1.0,12,11,4,2011,12.56,2.85,2.85
248,40.49,1.0,13,11,4,2011,12.12,3.19,3.19
249,40.32,1.0,14,11,4,2011,12.06,3.45,3.45
250,39.56,1.0,15,11,4,2011,12.56,3.62,3.62
251,38.52,1.0,16,11,4,2011,13.31,3.86,3.86
252,36.62,1.0,17,11,4,2011,14.88,4.38,4.38
253,32.94,1.0,18,11,4,2011,18.62,5.14,5.14
254,32.09,1.0,19,11,4,2011,19.62,5.88,5.88
255,31.22,1.0,20,11,4,2011,20.69,7.04,7.04
256,30.24,1.0,21,11,4,2011,21.88,8.35,8.35
257,29.4,1.0,22,11,4,2011,23.0,8.79,8.79
258,28.53,1.0,23,11,4,2011,24.44,8.53,8.53
259,27.58,1.0,0,12,4,2011,26.38,8.11,8.11
260,26.51,1.0,1,12,4,2011,28.75,7.49,7.49
261,25.76,1.0,2,12,4,2011,30.81,7.27,7.27
262,25.07,1.0,3,12,4,2011,32.94,6.81,6.81
263,24.57,1.0,4,12,4,2011,34.81,6.95,6.95
264,24.1,1.0,5,12,4,2011,36.75,6.69,6.69
265,25.7,1.0,6,12,4,2011,34.19,5.14,5.14
266,29.27,1.0,7,12,4,2011,27.75,4.06,4.06
267,33.71,1.0,8,12,4,2011,21.06,2.91,2.91
268,36.17,1.0,9,12,4,2011,18.38,0.78,0.78
269,37.92,1.0,10,12,4,2011,16.94,1.02,1.02
270,39.12,1.0,11,12,4,2011,16.12,1.99,1.99
271,39.54,1.0,12,12,4,2011,15.94,2.71,2.71
272,39.12,0.0,13,12,4,2011,16.56,3.28,3.28
273,38.82,0.0,14,12,4,2011,17.19,3.92,3.92
274,38.27,0.0,15,12,4,2011,17.88,4.71,4.71
275,37.43,0.0,16,12,4,2011,18.94,4.85,4.85
276,35.94,0.0,17,12,4,2011,20.88,4.72,4.72
277,33.1,1.0,18,12,4,2011,25.06,5.29,5.29
278,32.2,1.0,19,12,4,2011,25.88,6.14,6.14
279,31.52,1.0,20,12,4,2011,26.06,7.22,7.22
280,30.79,1.0,21,12,4,2011,26.12,8.47,8.47
281,29.87,1.0,22,12,4,2011,26.19,9.03,9.03
282,28.6,1.0,23,12,4,2011,27.06,8.58,8.58
283,27.4,1.0,0,13,4,2011,28.5,7.93,7.93
284,26.51,1.0,1,13,4,2011,29.75,7.41,7.41
285,25.62,1.0,2,13,4,2011,31.31,6.99,6.99
286,24.87,1.0,3,13,4,2011,32.81,6.62,6.62
287,24.16,1.0,4,13,4,2011,34.62,6.27,6.27
288,23.58,1.0,5,13,4,2011,36.62,5.79,5.79
289,25.44,1.0,6,13,4,2011,33.62,4.32,4.32
290,28.72,1.0,7,13,4,2011,28.94,3.22,3.22
291,32.44,1.0,8,13,4,2011,24.19,2.89,2.89
292,34.8,1.0,9,13,4,2011,20.69,2.5,2.5
293,37.07,1.0,10,13,4,2011,17.94,3.06,3.06
294,38.54,1.0,11,13,4,2011,16.38,4.15,4.15
295,39.51,1.0,12,13,4,2011,15.44,5.13,5.13
296,39.37,1.0,13,13,4,2011,15.31,5.5,5.5
297,38.41,1.0,14,13,4,2011,15.81,6.1,6.1
298,38.36,1.0,15,13,4,2011,15.5,6.6,6.6
299,37.72,1.0,16,13,4,2011,15.69,6.52,6.52
300,35.98,1.0,17,13,4,2011,17.12,6.37,6.37
301,32.1,1.0,18,13,4,2011,21.44,6.66,6.66
302,30.85,1.0,19,13,4,2011,23.5,7.19,7.19
303,30.01,1.0,20,13,4,2011,25.56,7.59,7.59
304,29.21,1.0,21,13,4,2011,27.94,7.69,7.69
305,28.44,1.0,22,13,4,2011,30.25,7.68,7.68
306,27.73,1.0,23,13,4,2011,32.0,7.71,7.71
307,26.97,1.0,0,14,4,2011,33.5,7.66,7.66
308,26.2,1.0,1,14,4,2011,35.12,7.6,7.6
309,25.4,1.0,2,14,4,2011,36.81,7.4,7.4
310,24.56,1.0,3,14,4,2011,38.88,6.88,6.88
311,23.68,1.0,4,14,4,2011,41.38,6.1,6.1
312,23.02,1.0,5,14,4,2011,43.56,5.4,5.4
313,25.15,1.0,6,14,4,2011,38.62,4.33,4.33
314,29.11,1.0,7,14,4,2011,30.25,3.33,3.33
315,33.9,1.0,8,14,4,2011,21.5,2.62,2.62
316,36.32,1.0,9,14,4,2011,17.69,1.78,1.78
317,37.9,1.0,10,14,4,2011,15.62,1.64,1.64
318,39.18,1.0,11,14,4,2011,14.19,2.11,2.11
319,40.01,1.0,12,14,4,2011,13.25,2.98,2.98
320,40.34,1.0,13,14,4,2011,12.81,3.89,3.89
321,40.12,1.0,14,14,4,2011,12.75,4.33,4.33
322,39.54,1.0,15,14,4,2011,12.88,4.17,4.17
323,38.49,1.0,16,14,4,2011,13.44,3.88,3.88
324,36.75,1.0,17,14,4,2011,14.75,3.61,3.61
325,33.0,1.0,18,14,4,2011,18.69,3.59,3.59
326,31.8,1.0,19,14,4,2011,20.38,3.77,3.77
327,30.86,1.0,20,14,4,2011,22.12,4.32,4.32
328,30.01,1.0,21,14,4,2011,24.12,5.17,5.17
329,29.08,1.0,22,14,4,2011,26.56,5.92,5.92
330,28.19,1.0,23,14,4,2011,29.31,6.42,6.42
331,27.59,1.0,0,15,4,2011,31.69,6.7,6.7
332,27.08,1.0,1,15,4,2011,33.62,6.79,6.79
333,26.55,1.0,2,15,4,2011,35.12,6.65,6.65
334,25.84,1.0,3,15,4,2011,36.62,6.33,6.33
335,25.18,1.0,4,15,4,2011,37.88,5.91,5.91
336,24.66,1.0,5,15,4,2011,39.0,5.47,5.47
337,27.01,1.0,6,15,4,2011,34.0,4.76,4.76
338,30.75,1.0,7,15,4,2011,27.44,4.34,4.34
339,34.64,1.0,8,15,4,2011,21.75,3.96,3.96
340,36.69,1.0,9,15,4,2011,18.94,3.18,3.18
341,38.19,1.0,10,15,4,2011,16.88,2.54,2.54
342,39.06,1.0,11,15,4,2011,15.5,1.94,1.94
343,39.29,1.0,12,15,4,2011,14.69,1.91,1.91
344,38.67,1.0,13,15,4,2011,14.44,2.58,2.58
345,38.05,1.0,14,15,4,2011,14.31,3.36,3.36
346,37.84,1.0,15,15,4,2011,13.88,3.51,3.51
347,37.51,1.0,16,15,4,2011,13.62,2.99,2.99
348,36.01,1.0,17,15,4,2011,14.56,2.23,2.23
349,33.56,1.0,18,15,4,2011,16.56,1.63,1.63
350,32.83,1.0,19,15,4,2011,16.88,1.4,1.4
351,32.09,1.0,20,15,4,2011,17.31,1.35,1.35
352,31.16,1.0,21,15,4,2011,18.06,1.42,1.42
353,30.31,1.0,22,15,4,2011,18.69,1.47,1.47
354,29.47,1.0,23,15,4,2011,19.44,1.64,1.64
355,28.24,1.0,0,16,4,2011,20.69,2.22,2.22
356,26.9,1.0,1,16,4,2011,22.19,2.89,2.89
357,25.72,1.0,2,16,4,2011,23.56,3.53,3.53
358,24.72,1.0,3,16,4,2011,24.75,4.08,4.08
359,23.97,1.0,4,16,4,2011,25.69,4.31,4.31
360,23.43,1.0,5,16,4,2011,26.25,4.25,4.25
361,26.13,1.0,6,16,4,2011,22.19,3.84,3.84
362,29.94,1.0,7,16,4,2011,17.62,2.6,2.6
363,34.93,1.0,8,16,4,2011,13.56,1.05,1.05
364,37.23,1.0,9,16,4,2011,12.06,0.83,0.83
365,38.82,1.0,10,16,4,2011,11.12,1.16,1.16
366,40.05,1.0,11,16,4,2011,10.62,1.47,1.47
367,40.89,1.0,12,16,4,2011,10.38,1.86,1.86
368,41.27,1.0,13,16,4,2011,10.44,2.22,2.22
369,41.23,1.0,14,16,4,2011,10.56,2.34,2.34
370,40.7,1.0,15,16,4,2011,10.88,2.41,2.41
371,39.69,1.0,16,16,4,2011,11.5,2.51,2.51
372,37.86,1.0,17,16,4,2011,12.88,2.7,2.7
373,34.55,1.0,18,16,4,2011,15.94,3.11,3.11
374,33.46,1.0,19,16,4,2011,17.19,3.32,3.32
375,32.59,1.0,20,16,4,2011,18.38,3.39,3.39
376,31.52,1.0,21,16,4,2011,19.94,4.01,4.01
377,30.22,1.0,22,16,4,2011,21.94,5.25,5.25
378,29.15,1.0,23,16,4,2011,23.69,6.3,6.3
379,28.28,1.0,0,17,4,2011,25.38,6.78,6.78
380,27.46,1.0,1,17,4,2011,27.19,6.96,6.96
381,26.76,1.0,2,17,4,2011,29.19,7.22,7.22
382,26.17,1.0,3,17,4,2011,31.88,7.47,7.47
383,25.59,1.0,4,17,4,2011,35.81,7.54,7.54
384,25.03,1.0,5,17,4,2011,40.81,7.21,7.21
385,26.71,1.0,6,17,4,2011,40.38,5.72,5.72
386,30.69,1.0,7,17,4,2011,32.5,4.48,4.48
387,34.99,1.0,8,17,4,2011,23.44,3.0,3.0
388,37.35,1.0,9,17,4,2011,19.62,2.26,2.26
389,39.18,1.0,10,17,4,2011,17.31,3.07,3.07
390,40.49,1.0,11,17,4,2011,16.0,4.25,4.25
391,41.3,1.0,12,17,4,2011,15.19,5.29,5.29
392,41.65,1.0,13,17,4,2011,14.75,6.07,6.07
393,41.43,1.0,14,17,4,2011,14.69,6.6,6.6
394,40.84,1.0,15,17,4,2011,14.81,6.87,6.87
395,39.74,0.0,16,17,4,2011,15.44,6.92,6.92
396,38.02,0.0,17,17,4,2011,16.81,6.91,6.91
397,34.51,1.0,18,17,4,2011,20.62,7.37,7.37
398,33.2,1.0,19,17,4,2011,22.44,8.16,8.16
399,32.31,1.0,20,17,4,2011,24.06,8.55,8.55
400,31.44,1.0,21,17,4,2011,25.69,8.76,8.76
401,30.65,1.0,22,17,4,2011,27.12,9.04,9.04
402,29.81,1.0,23,17,4,2011,28.62,9.4,9.4
403,29.0,1.0,0,18,4,2011,30.25,9.62,9.62
404,28.26,1.0,1,18,4,2011,32.0,9.19,9.19
405,27.33,1.0,2,18,4,2011,34.31,7.77,7.77
406,26.34,1.0,3,18,4,2011,36.75,6.84,6.84
407,25.58,1.0,4,18,4,2011,38.62,6.4,6.4
408,24.98,1.0,5,18,4,2011,40.38,6.09,6.09
409,26.39,1.0,6,18,4,2011,37.75,5.23,5.23
410,29.8,1.0,7,18,4,2011,32.62,5.51,5.51
411,33.13,1.0,8,18,4,2011,26.62,5.0,5.0
412,35.4,1.0,9,18,4,2011,22.94,4.71,4.71
413,37.22,1.0,10,18,4,2011,20.31,4.72,4.72
414,38.4,1.0,11,18,4,2011,18.56,4.87,4.87
415,39.3,1.0,12,18,4,2011,17.19,5.15,5.15
416,39.73,1.0,13,18,4,2011,16.25,5.46,5.46
417,39.7,1.0,14,18,4,2011,15.81,5.78,5.78
418,39.14,1.0,15,18,4,2011,15.94,5.91,5.91
419,38.06,1.0,16,18,4,2011,16.69,5.89,5.89
420,36.42,1.0,17,18,4,2011,18.06,5.85,5.85
421,33.07,1.0,18,18,4,2011,21.69,6.2,6.2
422,31.74,1.0,19,18,4,2011,23.19,6.79,6.79
423,30.83,1.0,20,18,4,2011,24.19,7.16,7.16
424,29.93,1.0,21,18,4,2011,25.19,7.35,7.35
425,29.08,1.0,22,18,4,2011,26.06,7.38,7.38
426,28.26,1.0,23,18,4,2011,26.88,7.26,7.26
427,27.43,1.0,0,19,4,2011,27.75,7.05,7.05
428,26.62,1.0,1,19,4,2011,28.62,6.82,6.82
429,25.79,1.0,2,19,4,2011,29.44,6.59,6.59
430,24.99,1.0,3,19,4,2011,30.0,6.37,6.37
431,24.21,1.0,4,19,4,2011,30.12,6.17,6.17
432,23.52,1.0,5,19,4,2011,29.69,6.04,6.04
433,25.18,1.0,6,19,4,2011,25.06,5.21,5.21
434,28.8,1.0,7,19,4,2011,18.75,4.04,4.04
435,33.71,1.0,8,19,4,2011,15.19,2.58,2.58
436,35.88,1.0,9,19,4,2011,14.19,1.48,1.48
437,37.52,1.0,10,19,4,2011,13.19,0.42,0.42
438,39.04,1.0,11,19,4,2011,12.25,0.65,0.65
439,40.15,1.0,12,19,4,2011,11.38,1.54,1.54
440,40.76,1.0,13,19,4,2011,10.69,2.39,2.39
441,40.75,1.0,14,19,4,2011,10.31,3.09,3.09
442,40.21,1.0,15,19,4,2011,10.38,3.7,3.7
443,39.13,1.0,16,19,4,2011,10.69,4.23,4.23
444,37.41,1.0,17,19,4,2011,11.44,4.85,4.85
445,33.37,1.0,18,19,4,2011,13.94,6.22,6.22
446,32.09,1.0,19,19,4,2011,14.12,7.8,7.8
447,31.22,1.0,20,19,4,2011,14.0,8.62,8.62
