YEAR,MO,DY,HR,PS,WS50M,RH2M,PRECTOTCORR,T2M
2011,4,6,4,93.88,2.2,84.75,0,17.62
2011,4,6,5,93.93,1.33,83.06,0,17.74
2011,4,6,6,94,0.56,75.62,0,18.83
2011,4,6,7,94.06,0.49,56.69,0,22.1
2011,4,6,8,94.1,1.47,25.69,0,28.14
2011,4,6,9,94.08,1.89,15.88,0,32.46
2011,4,6,10,94.03,2.79,12.56,0,35.1
2011,4,6,11,93.94,3.82,10.69,0,36.73
2011,4,6,12,93.82,4.45,9.75,0,37.74
2011,4,6,13,93.72,4.79,9.25,0,38.17
2011,4,6,14,93.65,5.53,9.5,0,37.92
2011,4,6,15,93.64,6.68,10.69,0,36.83
2011,4,6,16,93.68,7.86,13.62,0,34.79
2011,4,6,17,93.77,8.86,20.19,0,31.55
2011,4,6,18,93.89,8.55,32.75,0,27.54
2011,4,6,19,93.99,6.81,46.62,0,24.98
2011,4,6,20,94.04,5.12,58.62,0,23.2
2011,4,6,21,94.07,4.02,64.31,0,22.62
2011,4,6,22,94.08,3.29,70.19,0,21.58
2011,4,6,23,94.05,2.97,76,0,20.48
2011,4,7,0,94,2.86,79.69,0,19.77
2011,4,7,1,93.97,2.75,82.38,0,19.29
2011,4,7,2,93.94,2.39,83.5,0,19.01
2011,4,7,3,93.93,1.94,82.56,0,18.8
2011,4,7,4,93.95,1.69,80.38,0,18.55
2011,4,7,5,93.99,2.01,78.5,0,18.12
2011,4,7,6,94.05,2.69,69.12,0,19.51
2011,4,7,7,94.11,2.75,50.38,0,23.33
2011,4,7,8,94.16,2.7,25.31,0,28.65
2011,4,7,9,94.17,2.66,15.69,0,32.94
2011,4,7,10,94.12,2.83,15.38,0,35.05
2011,4,7,11,94.05,3.19,15.38,0,36.37
2011,4,7,12,93.93,3.74,15.44,0,37.12
2011,4,7,13,93.83,4.44,16,0,37.13
2011,4,7,14,93.77,5.18,17.19,0,36.58
2011,4,7,15,93.75,5.98,19.25,0,35.34
2011,4,7,16,93.78,7,22.88,0,33.48
2011,4,7,17,93.86,7.77,29.25,0,30.81
2011,4,7,18,93.95,7.93,39.5,0,27.73
2011,4,7,19,94.04,7.25,50.5,0,25.58
2011,4,7,20,94.12,5.47,60.38,0,24.04
2011,4,7,21,94.15,3.96,68.44,0,22.88
2011,4,7,22,94.13,3.39,74.94,0,21.94
2011,4,7,23,94.1,3.35,80,0,21.26
2011,4,8,0,94.06,3.43,84.31,0,20.75
2011,4,8,1,94.02,3.34,89.25,0,20.12
2011,4,8,2,93.98,3.08,93.12,0,19.63
2011,4,8,3,93.99,2.89,95.88,0,19.29
2011,4,8,4,94.02,2.44,96.44,0,19.23
2011,4,8,5,94.08,1.87,95.12,0,19.26
2011,4,8,6,94.15,1.26,86.25,0,20.36
2011,4,8,7,94.22,1.29,65.75,0,23.4
2011,4,8,8,94.27,2.31,32.12,0.01,29.22
2011,4,8,9,94.28,2.35,22.56,0.01,33.01
2011,4,8,10,94.23,1.55,20.56,0,34.91
2011,4,8,11,94.13,0.63,19.12,0,36.26
2011,4,8,12,93.98,0.37,18.25,0,37.29
2011,4,8,13,93.84,1.48,17.94,0,37.61
2011,4,8,14,93.74,2.74,18.06,0,37.46
2011,4,8,15,93.71,4,19.19,0.01,36.59
2011,4,8,16,93.74,5.21,22,0,34.83
2011,4,8,17,93.82,6.34,26.5,0,32.73
2011,4,8,18,93.93,6.75,33.69,0,30.22
2011,4,8,19,94.03,6.38,41.88,0,28.23
2011,4,8,20,94.12,5.66,50.25,0,26.51
2011,4,8,21,94.16,4.58,57.38,0,25.19
2011,4,8,22,94.15,3.57,62.94,0,24.23
2011,4,8,23,94.1,3.11,67.5,0,23.47
2011,4,9,0,94.06,3.13,70.75,0,22.94
2011,4,9,1,94.02,3.04,72.31,0,22.82
2011,4,9,2,93.98,2.79,74.19,0,22.6
2011,4,9,3,93.99,2.45,76.94,0,22.17
2011,4,9,4,94.04,2.03,79.75,0,21.69
2011,4,9,5,94.1,1.4,80.44,0,21.45
2011,4,9,6,94.16,0.46,75.19,0,22.08
2011,4,9,7,94.23,0.18,54.56,0,24.73
2011,4,9,8,94.27,1.77,25.94,0,29.78
2011,4,9,9,94.27,2.49,16.5,0,33.26
2011,4,9,10,94.21,2.23,14.31,0,35.15
2011,4,9,11,94.11,1.75,13.56,0,36.55
2011,4,9,12,93.97,1.42,13.19,0,37.45
2011,4,9,13,93.85,1.55,13.19,0,37.86
2011,4,9,14,93.76,1.9,13.31,0,37.95
2011,4,9,15,93.72,2.59,14,0,37.3
2011,4,9,16,93.75,3.68,15.69,0,35.84
2011,4,9,17,93.84,5.31,19.75,0,33.46
2011,4,9,18,93.97,6.2,28.06,0,30
2011,4,9,19,94.09,5.81,38.06,0,27.44
2011,4,9,20,94.17,4.76,48.75,0,25.44
2011,4,9,21,94.22,3.55,57.38,0,24.19
2011,4,9,22,94.21,2.5,64.19,0,23.31
2011,4,9,23,94.16,2.02,68,0,22.66
2011,4,10,0,94.1,2.21,68.81,0,22.29
2011,4,10,1,94.04,2.52,68.06,0,22.06
2011,4,10,2,93.99,2.76,66,0,22.04
2011,4,10,3,93.99,3,64.75,0,21.83
2011,4,10,4,94.03,3.3,64.56,0,21.44
2011,4,10,5,94.1,3.6,64.56,0,21.19
2011,4,10,6,94.19,3.87,57.12,0,23.1
2011,4,10,7,94.27,4,43,0,27.47
2011,4,10,8,94.32,4.33,32.5,0,31.28
2011,4,10,9,94.3,3.97,27.19,0,33.75
2011,4,10,10,94.25,3.33,23.88,0,35.64
2011,4,10,11,94.15,2.57,21.69,0,36.98
2011,4,10,12,94.03,1.62,20.5,0,37.55
2011,4,10,13,93.92,1.3,21,0,36.86
2011,4,10,14,93.86,2.12,22.56,0,35.69
2011,4,10,15,93.84,2.78,24.31,0,34.69
2011,4,10,16,93.86,3.37,26.5,0,33.61
2011,4,10,17,93.93,4.16,29.62,0,32.27
2011,4,10,18,94,5.04,34.56,0,30.5
2011,4,10,19,94.08,5.12,39.44,0,29.05
2011,4,10,20,94.15,4.75,44.94,0,27.62
2011,4,10,21,94.19,4.3,50.06,0,26.43
2011,4,10,22,94.17,3.8,54.44,0,25.49
2011,4,10,23,94.11,3.27,58.06,0,24.76
2011,4,11,0,94.04,2.71,60.69,0,24.23
2011,4,11,1,93.97,2.31,62.19,0,23.83
2011,4,11,2,93.92,2.13,62.69,0,23.58
2011,4,11,3,93.94,2.15,63.12,0,23.37
2011,4,11,4,93.99,2.25,64.06,0,23.18
2011,4,11,5,94.06,2.31,65.25,0,22.99
2011,4,11,6,94.13,2.16,63.5,0,23.48
2011,4,11,7,94.22,1.88,52.19,0,25.37
2011,4,11,8,94.27,1.63,37.5,0,28.65
2011,4,11,9,94.27,1.65,28,0,32.37
2011,4,11,10,94.2,1.01,24.69,0,34.54
2011,4,11,11,94.11,0.28,22.5,0,36.13
2011,4,11,12,93.98,1.37,21.81,0,36.67
2011,4,11,13,93.85,2.8,22.06,0,36.27
2011,4,11,14,93.76,3.83,23.19,0,35.51
2011,4,11,15,93.73,4.45,24.81,0,34.62
2011,4,11,16,93.76,5.01,27,0,33.55
2011,4,11,17,93.82,5.73,30,0,32.14
2011,4,11,18,93.92,6.29,34.69,0,30.34
2011,4,11,19,94.03,6.08,40.25,0,28.76
2011,4,11,20,94.1,5.5,46.12,0,27.37
2011,4,11,21,94.14,4.77,50.81,0,26.3
2011,4,11,22,94.12,3.98,53.88,0,25.58
2011,4,11,23,94.05,3.3,55.5,0,25.08
2011,4,12,0,93.96,2.87,56,0,24.72
2011,4,12,1,93.88,2.77,55.94,0,24.42
2011,4,12,2,93.82,2.73,55.25,0,24.19
2011,4,12,3,93.81,2.62,53.94,0,24.01
2011,4,12,4,93.84,2.65,52.81,0,23.77
2011,4,12,5,93.91,2.86,51.69,0,23.66
2011,4,12,6,93.98,2.91,46.5,0,24.97
2011,4,12,7,94.05,2.71,39.12,0,27.29
2011,4,12,8,94.1,2.98,28.69,0,31.1
2011,4,12,9,94.1,2.26,25.38,0,33.4
2011,4,12,10,94.04,1.26,23.69,0,35.3
2011,4,12,11,93.94,0.24,22.06,0.01,36.89
2011,4,12,12,93.82,1.37,21.56,0.03,37.55
2011,4,12,13,93.7,2.75,21.62,0.04,37.75
2011,4,12,14,93.63,4.13,23,0.05,36.82
2011,4,12,15,93.63,5.48,25.31,0.05,35.4
2011,4,12,16,93.69,6.28,28,0.04,33.99
2011,4,12,17,93.77,6.28,31.19,0.03,32.49
2011,4,12,18,93.87,6.13,36.12,0.02,30.66
2011,4,12,19,93.96,5.81,41.75,0.01,29.12
2011,4,12,20,94.03,5.33,47.94,0.01,27.77
2011,4,12,21,94.07,4.62,54.31,0,26.57
2011,4,12,22,94.07,4.12,59.56,0,25.66
2011,4,12,23,94.04,3.84,63.5,0,24.99
2011,4,13,0,93.98,3.55,67,0,24.47
2011,4,13,1,93.92,3.24,70.25,0,24.06
2011,4,13,2,93.88,2.79,73.19,0,23.73
2011,4,13,3,93.88,2.24,75.69,0.01,23.45
2011,4,13,4,93.91,1.68,77.88,0.01,23.13
2011,4,13,5,93.96,1.22,78.5,0,22.91
2011,4,13,6,94.02,1.21,74.12,0,23.55
2011,4,13,7,94.09,2.4,56.38,0,26.19
2011,4,13,8,94.13,3.55,36.38,0,30.27
2011,4,13,9,94.14,3.13,27.12,0,33.44
2011,4,13,10,94.07,2.19,22.88,0,35.54
2011,4,13,11,93.98,1.41,20.31,0,37.15
2011,4,13,12,93.86,1.63,18.75,0,38.25
2011,4,13,13,93.75,2.66,18.31,0,38.45
2011,4,13,14,93.67,3.65,18.81,0.01,38.02
2011,4,13,15,93.65,4.59,19.94,0.01,37.14
2011,4,13,16,93.68,5.61,21.69,0.01,35.87
2011,4,13,17,93.76,6.84,24.94,0.01,33.9
2011,4,13,18,93.87,7.47,31.25,0,31.04
2011,4,13,19,93.97,6.81,39,0,28.85
2011,4,13,20,94.03,5.54,46.94,0,27.12
2011,4,13,21,94.05,4.36,53.44,0,25.71
2011,4,13,22,94.02,3.5,57.94,0,24.68
2011,4,13,23,93.96,3.26,61.5,0,23.91
2011,4,14,0,93.89,3.3,65.69,0,23.19
2011,4,14,1,93.83,3.43,70.69,0,22.42
2011,4,14,2,93.79,3.49,76,0,21.72
2011,4,14,3,93.8,3.35,81.25,0,21.05
2011,4,14,4,93.84,2.95,84.56,0,20.57
2011,4,14,5,93.92,2.22,84,0,20.51
2011,4,14,6,93.97,1.41,75.12,0,21.81
2011,4,14,7,94.02,2.21,52.19,0,25.45
2011,4,14,8,94.04,1.89,33.69,0,29.59
2011,4,14,9,94.02,0.98,23.38,0,33.3
2011,4,14,10,93.95,1.5,19.56,0,35.76
2011,4,14,11,93.86,2.58,17.56,0,37.38
2011,4,14,12,93.75,3.7,16.75,0,38.28
2011,4,14,13,93.64,4.91,17.06,0,38.42
2011,4,14,14,93.57,6.1,18.5,0,37.78
2011,4,14,15,93.55,7.22,21.19,0,36.43
2011,4,14,16,93.59,8.33,25.81,0,34.3
2011,4,14,17,93.67,9,32.88,0,31.58
2011,4,14,18,93.75,8.02,42.25,0,28.72
2011,4,14,19,93.81,6.23,51.44,0,26.76
2011,4,14,20,93.83,4.79,59.31,0,25.22
2011,4,14,21,93.83,4.15,65.69,0,24.06
2011,4,14,22,93.81,3.95,71.44,0,23.15
2011,4,14,23,93.78,3.88,77.25,0,22.33
2011,4,15,0,93.72,3.85,83.38,0,21.58
2011,4,15,1,93.7,3.97,89.75,0,20.93
2011,4,15,2,93.71,4.1,92.75,0,20.9
2011,4,15,3,93.75,3.98,94.44,0,20.94
2011,4,15,4,93.81,3.5,95.69,0,20.85
2011,4,15,5,93.86,2.81,94.62,0,20.58
2011,4,15,6,93.9,1.94,85.75,0,21.41
2011,4,15,7,93.93,2.65,57.19,0,24.83
2011,4,15,8,93.94,3.82,32.19,0,29.48
2011,4,15,9,93.91,3.08,24.69,0,32.33
2011,4,15,10,93.86,2.08,20.69,0,34.51
2011,4,15,11,93.78,1.81,18.12,0,36.2
2011,4,15,12,93.68,2.24,16.56,0,37.37
2011,4,15,13,93.56,2.94,15.88,0,37.9
2011,4,15,14,93.49,3.73,16.12,0,37.8
2011,4,15,15,93.45,4.65,17.44,0,36.98
2011,4,15,16,93.46,5.63,20.31,0,35.44
2011,4,15,17,93.53,6.7,25.75,0,33.07
2011,4,15,18,93.61,7.55,35.19,0,30.08
2011,4,15,19,93.71,7.22,46.38,0,27.94
2011,4,15,20,93.79,5.99,56.62,0,26.37
2011,4,15,21,93.82,4.61,64.19,0,25.32
2011,4,15,22,93.82,3.66,70.31,0,24.48
2011,4,15,23,93.79,3.25,75.81,0,23.75
2011,4,16,0,93.76,3.16,80.88,0,23.08
2011,4,16,1,93.72,3.21,85.25,0,22.54
2011,4,16,2,93.71,3.26,88.06,0,22.23
2011,4,16,3,93.73,3.33,88.88,0,22.15
2011,4,16,4,93.78,3.37,90.25,0,21.98
2011,4,16,5,93.84,3.22,91.56,0,21.85
2011,4,16,6,93.92,3.18,87.12,0,22.4
2011,4,16,7,93.98,3.48,70.88,0,24.76
2011,4,16,8,94.02,3.85,51.44,0,28.4
2011,4,16,9,94.01,3.61,36.44,0,32.13
2011,4,16,10,93.95,3.18,27.94,0,34.96
2011,4,16,11,93.86,3.02,23.25,0,36.9
2011,4,16,12,93.76,3.38,21.06,0,38.08
2011,4,16,13,93.65,4,20.19,0,38.54
2011,4,16,14,93.57,4.57,20.12,0,38.42
2011,4,16,15,93.54,4.96,20.88,0,37.65
2011,4,16,16,93.55,5.54,22.75,0,36.3
2011,4,16,17,93.6,6.54,26.5,0,34.3
2011,4,16,18,93.69,7.55,34.19,0,31.28
2011,4,16,19,93.79,7.58,43.56,0,29.07
2011,4,16,20,93.87,6.91,52.75,0,27.28
2011,4,16,21,93.92,5.8,60,0,25.94
2011,4,16,22,93.94,4.75,65.38,0,25
2011,4,16,23,93.91,4.06,69.5,0,24.23
2011,4,17,0,93.87,3.52,72.06,0,23.58
2011,4,17,1,93.84,3.06,72.94,0,23.13
2011,4,17,2,93.81,2.8,72.69,0,22.94
2011,4,17,3,93.82,2.92,73.62,0,22.58
2011,4,17,4,93.86,3.21,75.75,0,22.12
2011,4,17,5,93.92,3.25,78.12,0,21.75
2011,4,17,6,93.98,2.96,72.06,0,23.08
2011,4,17,7,94.04,3.48,53.56,0,26.31
2011,4,17,8,94.08,4.69,33.06,0,30.55
2011,4,17,9,94.07,4.45,24,0,33.98
2011,4,17,10,94.01,3.69,20.69,0,36.38
2011,4,17,11,93.91,3.17,19,0,38.07
2011,4,17,12,93.8,3.4,18.06,0,39.1
2011,4,17,13,93.69,4.37,18.25,0,39.13
2011,4,17,14,93.62,5.41,19.31,0,38.29
2011,4,17,15,93.6,6.2,20.88,0,37.06
2011,4,17,16,93.62,6.82,22.81,0,35.74
2011,4,17,17,93.68,7.22,26.12,0,33.83
2011,4,17,18,93.76,7.07,32.44,0,31.08
2011,4,17,19,93.84,6.49,40.75,0,28.9
2011,4,17,20,93.92,5.39,49.56,0,27.17
2011,4,17,21,93.95,3.9,57.06,0,25.98
2011,4,17,22,93.94,2.89,63.44,0,25.08
2011,4,17,23,93.91,2.52,68.56,0,24.36
2011,4,18,0,93.87,2.62,74,0,23.72
2011,4,18,1,93.83,2.86,80.19,0,23.12
2011,4,18,2,93.8,2.84,82.75,0,23.02
2011,4,18,3,93.8,2.21,85.88,0,22.61
2011,4,18,4,93.8,1.22,86.69,0,22.43
2011,4,18,5,93.84,0.7,86.81,0,22.15
2011,4,18,6,93.91,1.42,80.12,0,22.97
2011,4,18,7,93.99,0.82,53.06,0,26.38
2011,4,18,8,94.04,0.59,33.12,0,30.07
2011,4,18,9,94.02,0.86,25.56,0,32.76
2011,4,18,10,93.95,1.72,21.75,0,34.94
2011,4,18,11,93.84,2.81,19.56,0,36.51
2011,4,18,12,93.74,3.8,18.94,0,37.37
2011,4,18,13,93.62,4.52,19.44,0,37.55
2011,4,18,14,93.53,5.22,20.75,0,37.19
2011,4,18,15,93.51,5.95,22.75,0,36.25
2011,4,18,16,93.52,6.58,25.56,0,34.78
2011,4,18,17,93.57,7.09,29.31,0,32.9
2011,4,18,18,93.63,7.34,35.06,0,30.54
2011,4,18,19,93.68,6.81,41.5,0,28.73
2011,4,18,20,93.71,5.64,48.62,0,27.1
2011,4,18,21,93.71,4.67,55.38,0,25.8
2011,4,18,22,93.69,4.18,61.81,0,24.76
2011,4,18,23,93.64,3.82,68,0,23.87
2011,4,19,0,93.59,3.3,73.62,0,23.12
2011,4,19,1,93.55,2.73,78.38,0,22.49
2011,4,19,2,93.54,2.33,81.75,0,22.02
2011,4,19,3,93.56,2.09,83.06,0,21.74
2011,4,19,4,93.61,1.89,82.25,0,21.52
2011,4,19,5,93.66,1.88,80.38,0,21.24
2011,4,19,6,93.74,1.96,71,0,22.49
2011,4,19,7,93.8,3.35,43.56,0,26.66
2011,4,19,8,93.83,3.71,26.38,0,30.79
2011,4,19,9,93.81,2.95,20.81,0,33.52
2011,4,19,10,93.75,2.55,17.69,0,35.66
2011,4,19,11,93.67,2.9,15.62,0,37.38
2011,4,19,12,93.56,3.71,14.62,0,38.48
2011,4,19,13,93.47,4.71,14.5,0,38.85
2011,4,19,14,93.41,5.7,15.19,0,38.44
2011,4,19,15,93.4,6.74,17.19,0,37.26
2011,4,19,16,93.45,7.76,20.94,0,35.33
2011,4,19,17,93.52,8.41,26.88,0,32.76
2011,4,19,18,93.62,7.77,35.5,0,29.9
2011,4,19,19,93.68,6.57,44.62,0,27.86
2011,4,19,20,93.71,5.66,53,0,26.4
2011,4,19,21,93.74,4.91,59.94,0,25.26
2011,4,19,22,93.73,4.38,65.94,0,24.3
2011,4,19,23,93.7,3.98,71.56,0,23.44
2011,4,20,0,93.67,3.58,76.94,0,22.65
2011,4,20,1,93.63,3.21,82,0,21.98
2011,4,20,2,93.6,2.81,86.81,0,21.35
2011,4,20,3,93.61,2.37,89.88,0,20.97
2011,4,20,4,93.64,2.05,91.19,0,20.73
2011,4,20,5,93.71,1.83,91.81,0,20.51
2011,4,20,6,93.78,1.67,84.75,0,21.48
2011,4,20,7,93.86,2.48,60.25,0,24.53
2011,4,20,8,93.89,3.31,33.88,0,28.9
2011,4,20,9,93.88,2.54,23.25,0,32.27
2011,4,20,10,93.81,1.27,18.56,0,34.72
2011,4,20,11,93.72,0.7,16.06,0,36.5
2011,4,20,12,93.6,1.87,14.81,0,37.74
2011,4,20,13,93.48,3.14,14.56,0,38.32
2011,4,20,14,93.41,4.31,15.12,0,38.32
2011,4,20,15,93.39,5.35,16.75,0,37.4
2011,4,20,16,93.43,6.52,19.94,0,35.59
2011,4,20,17,93.52,7.8,25.94,0,32.8
2011,4,20,18,93.64,8.47,35.94,0,29.4
2011,4,20,19,93.73,7.64,46.56,0,27.01
2011,4,20,20,93.79,5.95,54.75,0,25.42
2011,4,20,21,93.8,4.22,60.44,0,24.4
2011,4,20,22,93.79,3.16,65.38,0,23.56
2011,4,20,23,93.74,2.73,69.62,0,22.87
2011,4,21,0,93.69,2.76,73.56,0,22.23
2011,4,21,1,93.64,3.01,77.44,0,21.59
2011,4,21,2,93.61,3.11,81.06,0,21.05
2011,4,21,3,93.62,2.88,84.44,0,20.59
2011,4,21,4,93.67,2.42,86.25,0,20.37
2011,4,21,5,93.74,1.79,85.94,0,20.36
2011,4,21,6,93.8,1.08,78.56,0,21.55
2011,4,21,7,93.87,1.35,52.5,0,25.22
2011,4,21,8,93.9,1.78,26.69,0,30.56
2011,4,21,9,93.89,1.44,21.06,0,33.53
2011,4,21,10,93.83,1.66,18.62,0,35.61
2011,4,21,11,93.74,2.47,17.12,0,37.19
2011,4,21,12,93.64,3.46,16.5,0,38.16
2011,4,21,13,93.54,4.5,16.62,0,38.44
2011,4,21,14,93.48,5.48,17.44,0,38.04
2011,4,21,15,93.46,6.35,18.88,0,37.01
2011,4,21,16,93.49,7.31,21.44,0,35.3
2011,4,21,17,93.57,8.19,26.06,0,32.8
2011,4,21,18,93.66,8.1,33.69,0,29.8
2011,4,21,19,93.75,6.88,42.81,0,27.49
2011,4,21,20,93.8,5.66,52.06,0,25.72
2011,4,21,21,93.82,4.69,60.38,0,24.35
2011,4,21,22,93.82,4.21,67.5,0,23.37
2011,4,21,23,93.79,3.94,74.38,0,22.54
2011,4,22,0,93.74,3.74,81.31,0,21.78
2011,4,22,1,93.7,3.59,88.06,0,21.06
2011,4,22,2,93.67,3.65,92,0,20.76
2011,4,22,3,93.68,3.69,92.5,0,20.88
2011,4,22,4,93.72,3.62,94,0,20.67
2011,4,22,5,93.77,3.39,95.69,0,20.35
2011,4,22,6,93.83,2.81,86.94,0,21.27
2011,4,22,7,93.9,2.22,66.75,0,23.9
2011,4,22,8,93.94,2.71,36.81,0,28.7
2011,4,22,9,93.92,3.38,21.94,0,32.84
2011,4,22,10,93.85,2.9,18.06,0,35.12
2011,4,22,11,93.76,2.52,16.06,0,36.77
2011,4,22,12,93.65,2.8,15.12,0,37.85
2011,4,22,13,93.54,3.69,15.06,0,38.31
2011,4,22,14,93.46,4.78,15.69,0,38.09
2011,4,22,15,93.42,5.79,17.25,0,37.12
2011,4,22,16,93.44,6.73,20.06,0,35.42
2011,4,22,17,93.5,7.73,25,0,33
2011,4,22,18,93.59,8.11,33.5,0,30.01
