YEAR,MO,DY,HR,T2M,WS50M,WD50M,QV2M,PRECTOTCORR
2011,4,4,0,23.01,1.98,265.01,14.1,0
2011,4,4,1,22.75,1.68,251.9,14.4,0
2011,4,4,2,22.61,1.32,230.76,14.53,0
2011,4,4,3,22.55,1.1,203.47,14.59,0
2011,4,4,4,22.29,1.22,171.56,14.59,0
2011,4,4,5,21.8,1.82,151.23,14.65,0
2011,4,4,6,22.45,2.68,145.1,14.65,0
2011,4,4,7,25.39,2.03,159.47,14.22,0
2011,4,4,8,28.65,0.94,164.12,12.02,0
2011,4,4,9,32.58,0.85,14.93,8.12,0
2011,4,4,10,34.8,1.29,347.74,7.02,0
2011,4,4,11,36.12,1.7,315.74,6.71,0
2011,4,4,12,36.87,2.6,297.18,6.77,0
2011,4,4,13,37.03,3.7,290.12,7.02,0
2011,4,4,14,36.67,4.68,287.68,7.32,0
2011,4,4,15,35.74,5.53,287.08,7.57,0
2011,4,4,16,34.28,6.14,288.02,7.63,0
2011,4,4,17,32.23,6.67,287.1,7.69,0
2011,4,4,18,29.4,6.77,284.5,8.24,0
2011,4,4,19,27.43,6.01,284.38,9.22,0
2011,4,4,20,26.01,4.45,284.01,9.83,0
2011,4,4,21,25.17,3.06,284.36,10.25,0
2011,4,4,22,24.97,1.94,282.08,10.62,0
2011,4,4,23,24.83,1.01,274.87,10.86,0
2011,4,5,0,24.58,0.54,262.46,11.11,0
2011,4,5,1,24.25,0.42,263.54,11.23,0
2011,4,5,2,23.9,0.46,290.9,11.54,0
2011,4,5,3,23.49,0.68,315.47,11.9,0
2011,4,5,4,23.17,0.55,344.39,12.21,0
2011,4,5,5,22.73,0.75,91.19,12.45,0
2011,4,5,6,22.85,1.94,118.63,12.51,0
2011,4,5,7,25.71,1.3,115.18,12.15,0
2011,4,5,8,29.51,0.82,38.83,8.91,0
2011,4,5,9,32.96,1.41,35.1,6.65,0
2011,4,5,10,35.23,1.09,39.49,6.04,0
2011,4,5,11,37.1,0.3,358.53,5.74,0
2011,4,5,12,38.21,1.01,258.86,5.98,0
2011,4,5,13,38.53,2.09,256.8,6.29,0
2011,4,5,14,38.14,3.31,258.85,6.65,0
2011,4,5,15,36.9,5,260.92,7.26,0
2011,4,5,16,34.68,6.98,262.21,8.12,0
2011,4,5,17,31.51,8.4,261.92,9.28,0
2011,4,5,18,28.51,7.58,259.55,10.68,0
2011,4,5,19,27.13,5.22,250.05,11.54,0
2011,4,5,20,26.22,3.75,225.76,11.84,0
2011,4,5,21,25.62,3.64,200.89,12.02,0
2011,4,5,22,24.91,4.03,194.36,12.21,0
2011,4,5,23,24.16,4.38,195.43,12.45,0
2011,4,6,0,23.56,4.3,198.96,12.57,0
2011,4,6,1,23.01,3.96,200.79,12.63,0
2011,4,6,2,22.63,3.38,197.05,12.76,0
2011,4,6,3,22.57,2.5,186.99,12.76,0
2011,4,6,4,22.4,2.13,162.03,12.76,0
2011,4,6,5,21.87,2.49,142.52,12.82,0
2011,4,6,6,22.73,3,132.68,12.82,0
2011,4,6,7,26.04,2.35,136.08,11.84,0
2011,4,6,8,29.62,1.98,132.76,9.52,0
2011,4,6,9,33.41,1.96,136.62,7.45,0
2011,4,6,10,36.26,2.44,155.24,6.84,0
2011,4,6,11,38.41,3.2,178.46,6.53,0
2011,4,6,12,39.41,3.97,208.08,6.59,0
2011,4,6,13,39.2,5.02,225.38,7.08,0
2011,4,6,14,38.17,6.2,234.85,7.75,0
2011,4,6,15,36.54,7.2,238.84,8.48,0
2011,4,6,16,34.4,7.72,244.26,9.28,0
2011,4,6,17,31.77,7.34,250.29,10.19,0
2011,4,6,18,29.08,5.72,251.02,11.35,0
2011,4,6,19,27.51,4.3,237.55,12.39,0
2011,4,6,20,27,3.81,219.34,12.94,0
2011,4,6,21,26.08,3.64,209.7,13.31,0
2011,4,6,22,25.16,3.48,200.8,13.61,0
2011,4,6,23,24.49,3.27,188.94,13.85,0
2011,4,7,0,23.98,2.98,178.8,14.04,0
2011,4,7,1,23.6,2.65,168.62,14.22,0
2011,4,7,2,23.24,2.7,155.89,14.34,0
2011,4,7,3,22.85,3.26,147.53,14.47,0
2011,4,7,4,22.48,4.11,144.35,14.53,0
2011,4,7,5,22.19,4.87,144.47,14.47,0
2011,4,7,6,23.52,5.15,147.2,14.28,0
2011,4,7,7,26.73,4.54,161.04,13.67,0
2011,4,7,8,30.19,4.28,173.82,11.54,0
2011,4,7,9,33.46,4.06,184.31,9.28,0
2011,4,7,10,36.11,4.07,198.47,7.63,0
2011,4,7,11,37.44,4.45,215.06,7.45,0
2011,4,7,12,37.82,5.18,228.73,8.18,0
2011,4,7,13,37.38,5.9,239.26,9.09,0
2011,4,7,14,36.51,6.21,245.56,9.89,0
2011,4,7,15,35.31,6.16,250.53,10.5,0
2011,4,7,16,33.73,5.74,254.38,10.99,0
2011,4,7,17,31.67,5.26,257.14,11.54,0
2011,4,7,18,29.53,5.02,259.51,12.45,0
2011,4,7,19,28.13,4.34,259.42,13.49,0
2011,4,7,20,27.08,3.54,252.68,14.22,0
2011,4,7,21,26.32,3.2,244.56,14.71,0
2011,4,7,22,25.9,3.1,242.85,15.08,0
2011,4,7,23,25.48,2.94,246.36,15.44,0
2011,4,8,0,24.92,2.34,247.03,15.75,0
2011,4,8,1,24.73,1.55,239.04,15.99,0
2011,4,8,2,24.46,1.13,215.45,16.17,0
2011,4,8,3,24.16,1.11,188.87,16.24,0
2011,4,8,4,23.91,1.11,165.28,16.3,0
2011,4,8,5,23.57,1.37,141.03,16.36,0
2011,4,8,6,24.23,1.64,130.16,16.36,0
2011,4,8,7,26.61,1.06,123.22,15.81,0
2011,4,8,8,29.44,0.57,97.91,13.98,0
2011,4,8,9,33.15,0.44,31.14,10.93,0
2011,4,8,10,36.88,0.79,310.17,9.16,0
2011,4,8,11,38.31,1.6,278.41,9.34,0
2011,4,8,12,38.85,2.62,268.97,9.77,0
2011,4,8,13,38.7,3.87,268.84,10.19,0
2011,4,8,14,37.93,5.02,273.3,10.62,0
2011,4,8,15,36.69,5.79,277.13,10.93,0
2011,4,8,16,35.08,6.22,280.72,11.17,0
2011,4,8,17,32.94,6.4,283.34,11.6,0
2011,4,8,18,30.3,5.63,282.01,12.57,0
2011,4,8,19,28.55,4.01,279.65,13.67,0
2011,4,8,20,27.43,2.54,267.89,14.4,0
2011,4,8,21,26.58,1.96,238.02,15.01,0
2011,4,8,22,25.96,2.09,220.46,15.5,0
2011,4,8,23,25.4,2.26,228.09,15.93,0
2011,4,9,0,24.94,2.18,239.39,16.42,0
2011,4,9,1,24.58,1.93,248.85,16.72,0
2011,4,9,2,24.4,1.34,253.46,16.97,0
2011,4,9,3,24.33,0.67,257.91,17.09,0
2011,4,9,4,24.15,0.13,173.29,17.15,0
2011,4,9,5,23.51,1.15,127.81,17.15,0
2011,4,9,6,23.97,2.13,134.26,17.15,0
2011,4,9,7,26.55,1.76,139.32,15.69,0
2011,4,9,8,29.97,0.47,117.85,12.39,0
2011,4,9,9,34.74,0.93,333.43,7.81,0
2011,4,9,10,37.05,1.33,310.24,6.96,0
2011,4,9,11,38.2,2.15,294.05,7.2,0
2011,4,9,12,38.55,3.18,290.26,7.81,0
2011,4,9,13,38.33,4.04,290.61,8.54,0
2011,4,9,14,37.65,4.9,288.78,9.22,0
2011,4,9,15,36.45,5.71,287.44,9.77,0
2011,4,9,16,34.73,6.24,288.09,10.31,0
2011,4,9,17,32.44,6.16,288.18,11.05,0
2011,4,9,18,29.72,5.24,287.62,12.51,0
2011,4,9,19,28.01,3.78,288.66,13.92,0
2011,4,9,20,26.88,2.38,291.94,14.83,0
2011,4,9,21,26.32,1.14,299.55,15.32,0
2011,4,9,22,25.97,0.26,329.62,15.62,0
2011,4,9,23,25.58,0.36,61.19,15.87,0
2011,4,10,0,25.21,0.63,52.56,15.93,0
2011,4,10,1,24.87,0.83,43.86,15.93,0
2011,4,10,2,24.57,1,40.55,15.87,0
2011,4,10,3,24.3,1.18,37.71,15.81,0
2011,4,10,4,23.93,1.44,42.15,15.75,0
2011,4,10,5,23.65,1.85,52.21,15.62,0
2011,4,10,6,24.54,2.23,61.55,15.32,0
2011,4,10,7,27.56,2.2,57.15,14.47,0
2011,4,10,8,31.69,2.37,51.55,12.08,0
2011,4,10,9,35.8,2.22,50.14,9.22,0
2011,4,10,10,38.3,1.49,42.66,8.06,0
2011,4,10,11,39.76,0.8,347.59,7.81,0
2011,4,10,12,40.28,1.8,292.22,8.18,0
2011,4,10,13,39.95,3.42,282.8,8.54,0
2011,4,10,14,38.94,4.78,281.4,8.97,0
2011,4,10,15,37.45,5.83,282.15,9.46,0
2011,4,10,16,35.44,6.64,283.19,9.95,0
2011,4,10,17,32.73,7.1,284.08,10.68,0
2011,4,10,18,29.67,6.47,285.98,12.02,0
2011,4,10,19,27.91,4.76,289.95,13.61,0
2011,4,10,20,27.12,3.21,296.75,14.71,0
2011,4,10,21,26.58,2.38,308.87,15.44,0
2011,4,10,22,26.13,1.95,320.52,15.87,0
2011,4,10,23,25.81,1.61,329.46,16.17,0
2011,4,11,0,25.54,1.41,335,16.3,0
2011,4,11,1,25.23,1.49,334.78,16.48,0
2011,4,11,2,24.83,1.81,328.44,16.6,0
2011,4,11,3,24.4,2.19,327.1,16.78,0
2011,4,11,4,24.19,2.33,333.26,17.03,0
2011,4,11,5,24.05,2.22,345.52,17.15,0
2011,4,11,6,24.77,2.16,0,17.21,0
2011,4,11,7,26.76,2.25,9,16.24,0
2011,4,11,8,29.57,2.12,10.61,14.1,0
2011,4,11,9,33.51,1.61,17.82,10.86,0
2011,4,11,10,36.52,1.05,0.85,9.46,0
2011,4,11,11,38.21,1.68,307.46,9.46,0
2011,4,11,12,38.73,3.23,294.58,9.89,0
2011,4,11,13,38.46,4.57,292.31,10.19,0
2011,4,11,14,37.71,5.32,293.18,10.44,0
2011,4,11,15,36.62,5.63,295.32,10.56,0
2011,4,11,16,35.26,5.65,298.69,10.62,0
2011,4,11,17,33.45,5.61,302.43,10.8,0
2011,4,11,18,31.12,5.56,304.87,11.54,0
2011,4,11,19,29.45,4.88,310.91,12.57,0
2011,4,11,20,28.42,4.09,320.5,13.24,0
2011,4,11,21,27.62,3.48,331.13,13.73,0
2011,4,11,22,26.94,3.01,342.18,14.22,0
2011,4,11,23,26.36,2.67,351.59,14.53,0
2011,4,12,0,25.9,2.53,357.16,14.83,0
2011,4,12,1,25.53,2.34,5.37,15.08,0
2011,4,12,2,25.34,2,22.47,15.08,0
2011,4,12,3,25.16,1.89,36.78,14.95,0
2011,4,12,4,25.01,1.96,37.37,14.71,0
2011,4,12,5,24.83,2.17,27.21,14.53,0
2011,4,12,6,25.81,2.74,12.85,14.4,0
2011,4,12,7,27.94,3.74,1.91,14.16,0
2011,4,12,8,30.38,4.48,0.6,12.88,0
2011,4,12,9,32.78,3.98,9.15,11.84,0
2011,4,12,10,35.59,2.95,22.42,10.44,0
2011,4,12,11,38.28,1.57,19.79,9.52,0
2011,4,12,12,40.04,1.26,304.67,9.52,0
2011,4,12,13,40.47,3.41,283.53,10.19,0
2011,4,12,14,39.55,5.45,285.21,10.74,0.01
2011,4,12,15,38.08,6.56,287.61,11.05,0.01
2011,4,12,16,36.32,6.75,289.48,11.35,0.01
2011,4,12,17,34.01,6.75,290.24,11.9,0.01
2011,4,12,18,31.32,6.14,287.79,12.88,0.01
2011,4,12,19,29.58,4.62,282.6,13.98,0
2011,4,12,20,28.6,3.35,278.32,14.77,0
2011,4,12,21,27.91,2.74,279.52,15.44,0
2011,4,12,22,27.4,2.46,283.2,16.05,0
2011,4,12,23,26.99,2.2,285.86,16.54,0
2011,4,13,0,26.86,1.83,287.12,16.91,0
2011,4,13,1,26.72,1.49,286.15,17.15,0
2011,4,13,2,26.48,1.01,277.57,17.4,0
2011,4,13,3,26.28,0.49,246.32,17.46,0
2011,4,13,4,26.04,0.4,190.01,17.52,0
2011,4,13,5,25.79,0.29,178.45,17.52,0
2011,4,13,6,26.23,0.2,331.39,17.52,0
2011,4,13,7,28.48,1.52,348.46,15.99,0
2011,4,13,8,31.48,2.57,352.85,14.04,0
2011,4,13,9,34.67,2.63,353.87,12.15,0
2011,4,13,10,37.1,2.06,343.28,10.8,0
2011,4,13,11,38.83,1.94,311.58,10.07,0
2011,4,13,12,39.8,2.82,289.74,9.83,0
2011,4,13,13,39.95,4.2,285.33,9.89,0
2011,4,13,14,39.33,5.32,286.92,10.01,0
2011,4,13,15,38.25,6.04,289.56,10.13,0
2011,4,13,16,36.72,6.53,293.19,10.25,0
2011,4,13,17,34.62,6.74,297.55,10.68,0
2011,4,13,18,32.04,5.88,299.74,11.96,0
2011,4,13,19,30.15,4.24,300.06,13.67,0
2011,4,13,20,28.83,3.32,301.93,14.89,0
2011,4,13,21,27.79,3.02,306.28,15.93,0
2011,4,13,22,26.93,2.84,311.54,16.72,0
2011,4,13,23,26.19,2.69,317.83,17.21,0
2011,4,14,0,25.61,2.66,325.42,17.46,0
2011,4,14,1,25.09,2.68,336.12,17.64,0
2011,4,14,2,24.65,2.62,347.08,17.76,0
2011,4,14,3,24.4,2.28,0.39,17.88,0
2011,4,14,4,24.3,1.75,25.42,18.01,0
2011,4,14,5,24.13,1.65,70.36,18.01,0
2011,4,14,6,25.11,1.8,94.97,17.88,0
2011,4,14,7,27.92,1.15,29.17,16.6,0
2011,4,14,8,31.56,1.83,352.91,14.4,0
2011,4,14,9,34.38,1.81,331.67,13.18,0
2011,4,14,10,36.47,2.04,300.1,12.39,0
2011,4,14,11,37.79,2.9,278.83,12.08,0
2011,4,14,12,38.22,4.08,272.74,12.15,0
2011,4,14,13,37.97,5.27,274.42,12.39,0
2011,4,14,14,37.26,5.9,278.45,12.51,0
2011,4,14,15,36.37,6.05,282.53,12.45,0
2011,4,14,16,35.16,5.9,286.71,12.39,0
2011,4,14,17,33.51,5.5,287.53,12.45,0
2011,4,14,18,31.17,4.84,278.35,13.24,0
2011,4,14,19,29.36,4.19,267.44,14.59,0
2011,4,14,20,28.08,3.73,262.79,15.56,0
2011,4,14,21,27.12,3.31,258.98,16.36,0
2011,4,14,22,26.37,2.97,254.43,16.97,0
2011,4,14,23,25.79,2.85,250.47,17.4,0
2011,4,15,0,25.31,2.96,250.7,17.76,0
2011,4,15,1,24.91,2.97,255.82,18.07,0
2011,4,15,2,24.71,2.45,258.8,18.25,0
2011,4,15,3,24.81,1.6,257.59,18.25,0
2011,4,15,4,24.9,0.73,224.57,18.19,0
2011,4,15,5,24.52,1.11,154.69,18.07,0
2011,4,15,6,25.26,1.78,146.8,17.88,0
2011,4,15,7,27.64,0.65,168.96,16.66,0
2011,4,15,8,30.9,1.18,300.12,14.1,0
2011,4,15,9,34.39,1.92,304.53,11.78,0
2011,4,15,10,36.24,1.99,293.85,11.29,0
2011,4,15,11,37.39,2.39,277.89,11.23,0
2011,4,15,12,37.93,3.15,268.72,11.41,0
2011,4,15,13,37.89,4.04,266.56,11.78,0
2011,4,15,14,37.23,4.74,271.89,12.15,0
2011,4,15,15,35.94,5.17,279.04,12.51,0
2011,4,15,16,34.37,5.13,285.01,12.88,0
2011,4,15,17,32.73,4.9,290.83,13.31,0
2011,4,15,18,30.95,4.74,293.9,14.04,0
2011,4,15,19,29.61,4.24,297.18,14.89,0
2011,4,15,20,28.65,3.51,299.87,15.56,0
2011,4,15,21,27.85,2.99,298.24,16.05,0
2011,4,15,22,27.23,2.76,292.86,16.48,0
2011,4,15,23,26.72,2.72,286.72,16.97,0
2011,4,16,0,26.26,2.73,284.39,17.33,0
2011,4,16,1,25.87,2.66,287.64,17.76,0
2011,4,16,2,25.55,2.48,295.92,18.13,0
2011,4,16,3,25.31,2.36,311.38,18.37,0
2011,4,16,4,25.15,2.07,331.6,18.43,0
2011,4,16,5,25.05,1.63,2.47,18.49,0
2011,4,16,6,25.87,1.72,37.08,18.37,0
2011,4,16,7,28.36,2.28,33.69,16.48,0
2011,4,16,8,31.71,2.48,15.18,13.92,0
2011,4,16,9,34.55,2.25,357.42,12.7,0
2011,4,16,10,36.85,2.2,335.71,11.84,0
2011,4,16,11,38.42,2.67,309.42,11.41,0
2011,4,16,12,39.11,3.77,293.17,11.47,0
2011,4,16,13,38.91,4.91,287.48,11.9,0
2011,4,16,14,38.25,5.36,289.04,12.21,0
2011,4,16,15,37.31,5.33,291.04,12.27,0
2011,4,16,16,35.96,5.3,291.99,12.45,0
2011,4,16,17,34.06,5.4,293.97,12.76,0
2011,4,16,18,31.64,5.7,295.23,13.61,0
2011,4,16,19,29.9,5.24,300.66,14.71,0
2011,4,16,20,28.86,4.36,311.15,15.44,0
2011,4,16,21,28.05,3.53,321.38,16.05,0
2011,4,16,22,27.36,2.9,328.8,16.54,0
2011,4,16,23,26.78,2.43,336.73,16.85,0
2011,4,17,0,26.34,1.99,346.62,17.09,0
2011,4,17,1,26.02,1.6,356.91,17.27,0
2011,4,17,2,25.81,1.36,356.05,17.4,0
2011,4,17,3,25.64,1.19,352.46,17.52,0
2011,4,17,4,25.45,0.91,13.44,17.64,0
2011,4,17,5,25.23,1.01,55.08,17.64,0
2011,4,17,6,26.02,1.39,69.93,17.52,0
2011,4,17,7,28.53,1.67,33.54,16.11,0
2011,4,17,8,32.52,2.9,1.7,12.76,0
2011,4,17,9,35.74,3.07,351.95,11.17,0
2011,4,17,10,37.88,2.94,334.46,10.56,0
2011,4,17,11,39.23,3.5,312.2,10.38,0
2011,4,17,12,39.76,4.6,299.31,10.62,0
2011,4,17,13,39.55,5.66,293.7,10.99,0
2011,4,17,14,38.88,6.42,294.04,11.17,0
2011,4,17,15,37.92,6.79,296.24,11.23,0
2011,4,17,16,36.54,6.68,298.51,11.29,0
2011,4,17,17,34.6,6.36,300.09,11.54,0
2011,4,17,18,31.98,5.56,298.44,12.82,0
2011,4,17,19,30.09,4.27,297.6,14.34,0
2011,4,17,20,28.83,3.06,292.64,15.38,0
2011,4,17,21,28.04,2.26,273.96,16.17,0
2011,4,17,22,27.41,2.23,260.34,16.91,0
2011,4,17,23,26.81,2.4,262.9,17.58,0
2011,4,18,0,26.36,2.22,270.4,18.13,0
2011,4,18,1,26.21,1.42,271.26,18.43,0
2011,4,18,2,26.1,0.58,219.02,18.55,0
2011,4,18,3,25.64,1.23,150.66,18.55,0
2011,4,18,4,25.12,1.96,144.22,18.49,0
2011,4,18,5,24.8,2.22,147.93,18.49,0
2011,4,18,6,26,2.15,156.69,18.37,0
2011,4,18,7,28.79,0.61,225.52,16.6,0
2011,4,18,8,32.15,1.63,293.99,13.79,0
2011,4,18,9,34.44,2.3,291.08,13.06,0
2011,4,18,10,35.9,3.09,291.96,12.88,0
2011,4,18,11,36.87,3.99,293.91,12.7,0
2011,4,18,12,37.37,4.59,294.86,12.57,0
2011,4,18,13,37.53,4.78,295.48,12.33,0
2011,4,18,14,37.5,4.94,298.02,11.96,0
2011,4,18,15,36.98,5.11,300.33,11.6,0
2011,4,18,16,35.92,5.23,301.24,11.41,0
2011,4,18,17,34.2,5.38,300.74,11.6,0
2011,4,18,18,31.69,5.62,296.6,12.57,0
2011,4,18,19,29.77,5.39,295.97,14.22,0
2011,4,18,20,28.52,4.78,299.5,15.44,0
2011,4,18,21,27.63,4.22,304.81,16.3,0
2011,4,18,22,26.91,3.85,311.87,16.91,0
2011,4,18,23,26.3,3.35,320.01,17.4,0
2011,4,19,0,25.77,2.76,329.73,17.76,0
2011,4,19,1,25.41,2.25,340.75,18.01,0
2011,4,19,2,25.24,1.7,358.69,18.13,0
2011,4,19,3,25.02,1.42,36.93,18.13,0
2011,4,19,4,24.54,1.88,72.32,18.07,0
2011,4,19,5,24.07,2.48,89.64,17.88,0
2011,4,19,6,25.3,2.58,96.61,17.46,0
2011,4,19,7,28.29,1.52,42.49,15.87,0
2011,4,19,8,32.1,2.21,354.93,12.7,0
2011,4,19,9,34.76,2.24,340.43,11.35,0
2011,4,19,10,36.73,2.13,320.81,10.56,0
2011,4,19,11,38.24,2.44,296.4,10.25,0
2011,4,19,12,38.97,3.31,281.28,10.44,0
2011,4,19,13,38.96,4.38,277.18,10.74,0
2011,4,19,14,38.33,5.16,280.2,10.99,0
2011,4,19,15,37.33,5.6,285.53,11.23,0
2011,4,19,16,35.96,5.68,291.27,11.47,0
2011,4,19,17,34.23,5.57,296.13,11.78,0
2011,4,19,18,32.05,5.34,295.78,12.39,0
2011,4,19,19,30.45,4.77,293.88,13.31,0
2011,4,19,20,29.3,4.15,290.82,14.04,0
2011,4,19,21,28.27,3.66,285.61,14.83,0
2011,4,19,22,27.4,3.22,281.34,15.62,0
2011,4,19,23,26.67,2.82,278.44,16.36,0
2011,4,20,0,26.11,2.42,277.79,17.03,0
2011,4,20,1,25.73,1.96,275.73,17.52,0
2011,4,20,2,25.51,1.43,276.58,17.82,0
2011,4,20,3,25.34,0.9,286.22,18.01,0
2011,4,20,4,25.15,0.61,307.16,18.07,0
2011,4,20,5,24.91,0.55,330.15,18.07,0
2011,4,20,6,25.58,0.69,339.52,17.82,0
2011,4,20,7,28.22,1.86,337.31,15.44,0
2011,4,20,8,31.51,2.42,339.4,12.51,0
2011,4,20,9,34.07,1.91,335.32,11.29,0
2011,4,20,10,36.22,1.47,306.14,10.44,0
2011,4,20,11,37.72,2.17,272.68,10.07,0
2011,4,20,12,38.43,3.5,265.14,10.25,0
2011,4,20,13,38.3,4.78,265.5,10.62,0
2011,4,20,14,37.65,5.63,268.73,10.99,0
2011,4,20,15,36.5,6.12,272.41,11.11,0
2011,4,20,16,35,6.13,276,11.23,0
2011,4,20,17,33.1,5.93,279.1,11.41,0
2011,4,20,18,30.85,5.39,279.26,12.21,0
2011,4,20,19,29.26,4.47,277.32,13.67,0
2011,4,20,20,28.11,3.72,275.91,14.77,0
2011,4,20,21,27.22,3.14,276.28,15.5,0
2011,4,20,22,26.56,2.63,278.03,16.05,0
2011,4,20,23,26.14,2.04,282.17,16.42,0
2011,4,21,0,25.94,1.3,296.1,16.66,0
2011,4,21,1,25.67,0.9,328.78,16.85,0
2011,4,21,2,25.37,0.83,352.41,16.97,0
2011,4,21,3,25.11,0.67,10.01,16.97,0
2011,4,21,4,24.87,0.46,57.38,16.91,0
2011,4,21,5,24.5,0.78,119.39,16.85,0
2011,4,21,6,25.24,1.19,139.52,16.78,0
2011,4,21,7,27.83,0.4,164.05,15.08,0
2011,4,21,8,32.12,0.86,317.2,10.93,0
2011,4,21,9,34.9,1.13,308.29,9.89,0
2011,4,21,10,36.81,1.68,288.69,9.52,0
2011,4,21,11,38.01,2.69,279.19,9.7,0
2011,4,21,12,38.52,3.82,276.7,10.07,0
2011,4,21,13,38.41,4.8,277.39,10.56,0
2011,4,21,14,37.83,5.46,278.56,10.86,0
2011,4,21,15,36.9,5.69,280.12,10.99,0
2011,4,21,16,35.58,5.55,283.1,10.99,0
2011,4,21,17,33.82,5.27,287.17,11.23,0
2011,4,21,18,31.31,5.04,287.51,12.27,0
2011,4,21,19,29.35,4.47,286.66,13.92,0
2011,4,21,20,28.03,3.75,283.86,15.2,0
2011,4,21,21,27.07,3.17,276.79,16.05,0
2011,4,21,22,26.32,2.74,268.69,16.66,0
2011,4,21,23,25.74,2.37,265.08,17.21,0
2011,4,22,0,25.34,2.02,269.12,17.58,0
2011,4,22,1,25.06,1.72,277.03,17.82,0
2011,4,22,2,24.86,1.54,279.37,17.94,0
2011,4,22,3,24.76,1.27,269.29,18.01,0
2011,4,22,4,24.67,1.08,241.59,18.01,0
2011,4,22,5,24.41,1.21,206.9,17.94,0
2011,4,22,6,25.24,1.56,182.3,17.82,0
2011,4,22,7,27.53,1.45,177.83,16.6,0
2011,4,22,8,31,0.43,210.26,13.18,0
2011,4,22,9,34.84,0.64,350.19,9.77,0
2011,4,22,10,37.06,0.83,316.9,8.97,0
2011,4,22,11,38.38,1.78,285.5,9.03,0
2011,4,22,12,38.83,3.19,277.18,9.64,0
2011,4,22,13,38.53,4.55,275.72,10.31,0
2011,4,22,14,37.76,5.45,277.25,10.8,0
2011,4,22,15,36.62,5.92,280.26,11.11,0
